0:	5.454838174046E-06
1:	9.629544365453E-06
2:	1.336976129096E-05
3:	1.752375101205E-05
4:	2.207163197454E-05
5:	2.602733002277E-05
6:	2.976366158691E-05
7:	3.312596527394E-05
8:	3.611141801230E-05
9:	3.941596514778E-05
10:	4.236933091306E-05
11:	4.567671930999E-05
12:	4.929933857056E-05
13:	5.188756404095E-05
14:	5.390835940489E-05
15:	5.637828871841E-05
16:	5.917423186474E-05
17:	6.232503073988E-05
18:	6.527452933369E-05
19:	6.773908535251E-05
20:	6.992089038249E-05
21:	7.242459832923E-05
22:	7.563663530163E-05
23:	7.926742546260E-05
24:	8.247562072938E-05
25:	8.507102756994E-05
26:	8.728748798603E-05
27:	8.973481453722E-05
28:	9.271581802750E-05
29:	9.590645640856E-05
30:	9.888446220430E-05
31:	1.014287699945E-04
32:	1.037605688907E-04
33:	1.062427691068E-04
34:	1.090260921046E-04
35:	1.119554217439E-04
36:	1.147450602730E-04
37:	1.172461634269E-04
38:	1.195774966618E-04
39:	1.220019257744E-04
40:	1.246395258931E-04
41:	1.273888337892E-04
42:	1.300366275245E-04
43:	1.324699551333E-04
44:	1.348509686068E-04
45:	1.374207349727E-04
46:	1.400984619977E-04
47:	1.428418909200E-04
48:	1.455402234569E-04
49:	1.481281506130E-04
50:	1.506538537797E-04
51:	1.532125024823E-04
52:	1.558576186653E-04
53:	1.585494610481E-04
54:	1.612011401448E-04
55:	1.637711975491E-04
56:	1.662957802182E-04
57:	1.688418269623E-04
58:	1.714441023069E-04
59:	1.740773732308E-04
60:	1.766863424564E-04
61:	1.792405091692E-04
62:	1.817590382416E-04
63:	1.842911588028E-04
64:	1.868632971309E-04
65:	1.894583256217E-04
66:	1.920361391967E-04
67:	1.945760595845E-04
68:	1.970956509467E-04
69:	1.996266364586E-04
70:	2.021843247348E-04
71:	2.047629386652E-04
72:	2.073781797662E-04
73:	2.099691191688E-04
74:	2.125473693013E-04
75:	2.151348162442E-04
76:	2.177483984269E-04
77:	2.203783369623E-04
78:	2.230019454146E-04
79:	2.256084117107E-04
80:	2.282060449943E-04
81:	2.308133844053E-04
82:	2.334361779504E-04
83:	2.360689250054E-04
84:	2.387006097706E-04
85:	2.413205074845E-04
86:	2.439339150442E-04
87:	2.465520228725E-04
88:	2.491848717909E-04
89:	2.518254332244E-04
90:	2.544643066358E-04
91:	2.570954093244E-04
92:	2.597233979031E-04
93:	2.623547625262E-04
94:	2.649941889104E-04
95:	2.676399308257E-04
96:	2.702850033529E-04
97:	2.729272237048E-04
98:	2.755682799034E-04
99:	2.782127703540E-04
