2719
39	-1
51	0
60	1
78	2
85	3
98	4
99	5
109	6
123	7
128	8
137	9
140	10
151	11
159	12
163	13
181	14
186	15
187	16
203	17
210	18
217	19
223	20
230	21
244	22
255	23
264	24
274	25
278	26
289	27
301	28
306	29
307	30
332	31
333	32
342	33
350	34
351	35
352	36
358	37
366	38
371	39
382	40
386	41
400	42
410	43
428	44
438	45
449	46
465	47
476	48
489	49
494	50
501	51
504	52
517	53
532	54
539	55
549	56
550	57
567	58
569	59
590	60
611	61
618	62
636	63
637	64
664	65
684	66
697	67
705	68
708	69
733	70
742	71
758	72
772	73
775	74
782	75
808	76
681	76
832	77
846	79
607	78
877	80
883	82
896	83
926	84
931	85
934	86
938	87
968	88
977	89
631	81
991	90
1018	92
1032	93
1038	94
681	76
1064	95
1078	97
584	91
1081	98
1086	100
1101	101
1133	102
1140	103
1171	104
1175	105
1183	106
1215	107
1224	108
1246	109
1257	110
606	96
1268	111
1295	113
1309	114
1318	115
1323	116
1348	117
1359	118
1382	119
1387	120
1396	121
1404	122
1414	123
1424	124
634	112
1456	125
1462	127
1470	128
1474	129
1489	130
1500	131
1502	132
1510	133
1521	134
1528	135
1538	136
1544	137
1554	138
1564	139
1571	140
1583	141
1593	142
1604	143
1611	144
1623	145
1626	146
1630	147
1646	148
1652	149
1658	150
1666	151
1679	152
1696	153
1700	154
588	126
1709	155
1739	157
1741	158
1751	159
1773	160
1778	161
1786	162
1800	163
1802	164
1806	165
1807	166
1809	167
1824	168
1825	169
1852	170
1862	171
1872	172
1873	173
1874	174
1884	175
1888	176
1898	177
1909	178
1914	179
1927	180
1936	181
1951	182
1969	183
2013	184
2022	185
2033	186
2039	187
2051	188
2062	189
2070	190
2073	191
2092	192
2100	193
2104	194
2115	195
2116	196
2123	197
2144	198
2157	199
2165	200
2178	201
2188	202
2216	203
2233	204
2247	205
2255	206
2272	207
2286	208
2287	209
2296	210
2303	211
2308	212
2316	213
2323	214
2339	215
2365	216
2370	217
2371	218
2381	219
2389	220
2390	221
2401	222
2407	223
2409	224
2411	225
2414	226
2427	227
2436	228
2446	229
2459	230
2469	231
2479	232
2495	233
2507	234
2513	235
2528	236
2551	237
2561	238
2571	239
2576	240
2577	241
2585	242
2586	243
2592	244
2602	245
2606	246
2617	247
2628	248
2640	249
2648	250
2653	251
2664	252
2665	253
2671	254
2675	255
2686	256
2697	257
2703	258
2704	259
2710	260
2715	261
2716	262
2729	263
2738	264
2748	265
2752	266
2757	267
2765	268
2773	269
2785	270
2786	271
2788	272
2805	273
2811	274
2815	275
2823	276
2833	277
2846	278
2849	279
2858	280
2868	281
2883	282
2892	283
2905	284
2911	285
2916	286
2929	287
2938	288
2942	289
2945	290
2959	291
2963	292
2973	293
2978	294
2990	295
3003	296
3017	297
3028	298
3038	299
3039	300
3043	301
3059	302
3076	303
3092	304
3106	305
3118	306
3123	307
3135	308
3145	309
3158	310
3163	311
3167	312
3180	313
3193	314
3201	315
3216	316
3227	317
3232	318
3242	319
3248	320
3249	321
3253	322
